Sexo,Idade do morador na data de referência,Cor ou raça,... sabe ler e escrever?,Qual é o ano/série/semestre que ... frequenta?,Qual foi o curso mais elevado que ... frequentou anteriormente?,"Na semana de ... a ... (semana de referência), ... trabalhou ou estagiou, durante pelo menos 1 hora, em alguma atividade remunerada em dinheiro?",Condição no domicílio,"Rendimento mensal habitual do trabalho principal para pessoas de 14 anos ou mais de idade (apenas para pessoas que receberam em dinheiro, produtos ou mercadorias no trabalho principal)","Rendimento mensal habitual de todos os trabalhos para pessoas de 14 anos ou mais de idade (apenas para pessoas que receberam em dinheiro, produtos ou mercadorias em qualquer trabalho)",Número de pessoas no domicílio,Qual foi o curso mais elevado que ... frequentou anteriormente?2,"Número de componentes do domicílio (exclusive as pessoas cuja condição no domicílio era pensionista, empregado doméstico ou parente do empregado doméstico)",Anos de estudo (pessoas de 5 anos ou mais de idade) padronizado para o Ensino fundamental - SISTEMA DE 9 ANOS,Posição na ocupação no trabalho principal da semana de referência para pessoas de 14 anos ou mais de idade (com subcategorias de empregados),Posição na ocupação e categoria do emprego do trabalho principal da semana de referência para pessoas de 14 anos ou mais de idade,"Rendimento mensal efetivo do trabalho principal para pessoas de 14 anos ou mais de idade (apenas para pessoas que receberam em dinheiro, produtos ou mercadorias no trabalho principal)"
Homem,79,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  600,00 "," R$  600,00 ",4,Antigo primário (elementar),4,5 anos de estudo,Conta-própria,Conta-própria," R$  600,00 "
Mulher,69,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,4,Superior - graduação,4,16 anos ou mais de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,37,Parda,Sim,Não aplicável,Não aplicável,Sim,Filho(a)," R$  300,00 "," R$  300,00 ",4,Regular do ensino médio óu do 2º grau,4,12 anos de estudo,Conta-própria,Conta-própria," R$  300,00 "
Homem,34,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  522,00 "," R$  522,00 ",4,Regular do ensino fundamental ou do 1º grau,4,4 anos de estudo,Empregado no setor público (inclusive servidor estatutário e militar),Empregado no setor público sem carteira de trabalho assinada," R$  522,00 "
Mulher,29,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,2,Regular do ensino médio óu do 2º grau,2,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,8,Preta,Sim,Terceira (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,2 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,38,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,5,Regular do ensino fundamental ou do 1º grau,5,6 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,37,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável," R$  750,00 "," R$  750,00 ",3,Regular do ensino médio óu do 2º grau,3,12 anos de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada," R$  300,00 "
Mulher,55,Branca,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  2.090,00 "," R$  2.090,00 ",3,Regular do ensino médio óu do 2º grau,3,12 anos de estudo,Empregado no setor privado,Empregado no setor privado com carteira de trabalho assinada," R$  2.300,00 "
Mulher,68,Parda,Não,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,2,Classe de alfabetização - CA,2,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,63,Parda,Não,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,2,Alfabetização de jovens e adultos,2,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,65,Parda,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  175,00 "," R$  175,00 ",2,Antigo primário (elementar),2,5 anos de estudo,Conta-própria,Conta-própria," R$  400,00 "
Mulher,78,Parda,Não,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,4,Classe de alfabetização - CA,4,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,43,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,2,Regular do ensino fundamental ou do 1º grau,2,7 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,57,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,4,Regular do ensino fundamental ou do 1º grau,4,8 anos de estudo,Trabalhador familiar auxiliar,Trabalhador familiar auxiliar,Não aplicável
Homem,36,Parda,Sim,Não aplicável,Não aplicável,Sim,Filho(a)," R$  1.000,00 "," R$  1.000,00 ",5,Regular do ensino fundamental ou do 1º grau,5,6 anos de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada," R$  1.000,00 "
Mulher,21,Parda,Sim,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,5,Regular do ensino médio óu do 2º grau,5,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,30,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  1.500,00 "," R$  1.500,00 ",3,Regular do ensino médio óu do 2º grau,3,11 anos de estudo,Empregado no setor privado,Empregado no setor privado com carteira de trabalho assinada," R$  1.000,00 "
Homem,9,Parda,Sim,Quarta (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,3,Não aplicável,3,3 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,30,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a)," R$  1.045,00 "," R$  1.045,00 ",3,Regular do ensino fundamental ou do 1º grau,3,3 anos de estudo,Empregado no setor privado,Empregado no setor privado com carteira de trabalho assinada," R$  1.045,00 "
Homem,55,Branca,Não,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,2,Antigo primário (elementar),2,2 anos de estudo,Trabalhador familiar auxiliar,Trabalhador familiar auxiliar,Não aplicável
Mulher,61,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável," R$  1.045,00 "," R$  1.045,00 ",3,"Antigo científico, clássico, etc. (médio 2º ciclo)",3,12 anos de estudo,Empregado no setor público (inclusive servidor estatutário e militar),Militar e servidor estatutário," R$  1.045,00 "
Mulher,42,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  1.045,00 "," R$  1.045,00 ",3,Regular do ensino médio óu do 2º grau,3,12 anos de estudo,Empregado no setor público (inclusive servidor estatutário e militar),Militar e servidor estatutário," R$  1.045,00 "
Homem,42,Parda,Não,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,3,Educação de jovens e adultos (EJA) ou supletivo do 1º grau,3,1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,78,Parda,Não,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,5,Não aplicável,5,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,14,Parda,Sim,Sétima (o),Não aplicável,Não,Neto(a),Não aplicável,Não aplicável,5,Não aplicável,5,6 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,97,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,2,Classe de alfabetização - CA,2,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,28,Parda,Sim,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,7,Regular do ensino médio óu do 2º grau,7,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,37,Parda,Sim,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,4,Regular do ensino fundamental ou do 1º grau,4,5 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,34,Branca,Sim,Não aplicável,Não aplicável,Sim,Filho(a)," R$  1.045,00 "," R$  1.045,00 ",2,Superior - graduação,2,14 anos de estudo,Empregado no setor privado,Empregado no setor privado com carteira de trabalho assinada," R$  1.045,00 "
Mulher,7,Parda,Sim,Segunda (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,31,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  4.000,00 "," R$  4.000,00 ",3,Não aplicável,3,16 anos ou mais de estudo,Empregado no setor público (inclusive servidor estatutário e militar),Militar e servidor estatutário," R$  4.000,00 "
Mulher,7,Parda,Sim,Segunda (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,3,Não aplicável,3,1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,10,Parda,Sim,Quarta (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,3 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,70,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,1,Antigo primário (elementar),1,6 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,15,Branca,Sim,Segunda (o),Não aplicável,Não,Neto(a),Não aplicável,Não aplicável,3,Não aplicável,3,10 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,21,Parda,Sim,Primeira (o),Não aplicável,Sim,Neto(a)," R$  1.045,00 "," R$  1.045,00 ",4,Não aplicável,4,9 anos de estudo,Empregado no setor privado,Empregado no setor privado com carteira de trabalho assinada," R$  1.045,00 "
Homem,56,Preta,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  1.045,00 "," R$  1.045,00 ",1,Regular do ensino médio óu do 2º grau,1,12 anos de estudo,Empregado no setor público (inclusive servidor estatutário e militar),Militar e servidor estatutário," R$  1.045,00 "
Homem,17,Parda,Sim,Terceira (o),Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,5,Não aplicável,5,11 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,25,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  1.045,00 "," R$  1.045,00 ",3,Regular do ensino médio óu do 2º grau,3,12 anos de estudo,Empregado no setor privado,Empregado no setor privado com carteira de trabalho assinada," R$  1.045,00 "
Homem,68,Parda,Não,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,4,Classe de alfabetização - CA,4,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,64,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,3,Regular do ensino médio óu do 2º grau,3,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,36,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  13.500,00 "," R$  13.500,00 ",4,Superior - graduação,4,16 anos ou mais de estudo,Empregado no setor privado,Empregado no setor privado com carteira de trabalho assinada," R$  13.500,00 "
Homem,76,Branca,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,2,Superior - graduação,2,16 anos ou mais de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,32,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a)," R$  1.045,00 "," R$  1.045,00 ",2,Especialização de nível superior,2,16 anos ou mais de estudo,Empregado no setor público (inclusive servidor estatutário e militar),Empregado no setor público sem carteira de trabalho assinada," R$  1.045,00 "
Homem,50,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,6,Regular do ensino fundamental ou do 1º grau,6,5 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,49,Parda,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  1.045,00 "," R$  1.045,00 ",6,Regular do ensino fundamental ou do 1º grau,6,5 anos de estudo,Empregado no setor público (inclusive servidor estatutário e militar),Militar e servidor estatutário," R$  1.045,00 "
Mulher,65,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,2,Regular do ensino médio óu do 2º grau,2,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,67,Parda,Sim,Não aplicável,Não aplicável,Não,Irmão ou irmã,Não aplicável,Não aplicável,2,Regular do ensino médio óu do 2º grau,2,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,13,Parda,Sim,Sétima (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,5,Não aplicável,5,6 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,2,Branca,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,5,Não aplicável,5,Não aplicável,Não aplicável,Não aplicável,Não aplicável
Mulher,42,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,4,Regular do ensino fundamental ou do 1º grau,4,5 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,23,Parda,Sim,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,4,Regular do ensino fundamental ou do 1º grau,4,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,68,Branca,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,2,Regular do ensino fundamental ou do 1º grau,2,6 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,48,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  4.800,00 "," R$  4.800,00 ",4,Superior - graduação,4,12 anos de estudo,Empregador,Empregador," R$  4.800,00 "
Mulher,41,Branca,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,4,Regular do ensino fundamental ou do 1º grau,4,8 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,21,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  1.300,00 "," R$  1.300,00 ",2,Regular do ensino médio óu do 2º grau,2,12 anos de estudo,Conta-própria,Conta-própria," R$  1.000,00 "
Mulher,4,Parda,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Neto(a),Não aplicável,Não aplicável,2,Não aplicável,2,Não aplicável,Não aplicável,Não aplicável,Não aplicável
Homem,11,Branca,Sim,Sexta (o),Não aplicável,Não aplicável,Neto(a),Não aplicável,Não aplicável,6,Não aplicável,6,5 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,4,Branca,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Neto(a),Não aplicável,Não aplicável,6,Não aplicável,6,Não aplicável,Não aplicável,Não aplicável,Não aplicável
Homem,55,Parda,Sim,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,4,Regular do ensino fundamental ou do 1º grau,4,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,56,Preta,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  1.045,00 "," R$  1.045,00 ",4,Superior - graduação,4,16 anos ou mais de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada," R$  1.045,00 "
Homem,75,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,3,Antigo primário (elementar),3,5 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,33,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,6,Regular do ensino médio óu do 2º grau,6,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,21,Parda,Sim,Oitava (o) ,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,6,Não aplicável,6,15 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,40,Parda,Não,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  600,00 "," R$  600,00 ",3,Regular do ensino fundamental ou do 1º grau,3,3 anos de estudo,Trabalhador doméstico,Trabalhador doméstico sem carteira de trabalho assinada," R$  600,00 "
Mulher,45,Parda,Não,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,3,Regular do ensino fundamental ou do 1º grau,3,3 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,78,Parda,Não,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,2,Não aplicável,2,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,48,Parda,Não,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,2,Regular do ensino fundamental ou do 1º grau,2,3 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,59,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,1,Regular do ensino fundamental ou do 1º grau,1,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,46,Branca,Sim,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,2,Regular do ensino médio óu do 2º grau,2,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,19,Parda,Sim,Terceira (o),Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,3,Não aplicável,3,11 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,23,Parda,Sim,Não aplicável,Não aplicável,Sim,Filho(a)," R$  800,00 "," R$  800,00 ",9,Regular do ensino médio óu do 2º grau,9,11 anos de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada," R$  700,00 "
Mulher,24,Parda,Sim,Não aplicável,Não aplicável,Não,Genro ou nora,Não aplicável,Não aplicável,9,Regular do ensino médio óu do 2º grau,9,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,68,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,9,Não aplicável,9,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,3,Parda,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Neto(a),Não aplicável,Não aplicável,9,Não aplicável,9,Não aplicável,Não aplicável,Não aplicável,Não aplicável
Homem,76,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,4,Regular do ensino fundamental ou do 1º grau,4,4 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,43,Parda,Sim,Curso não classificado em séries ou anos,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  200,00 "," R$  290,00 ",3,Não aplicável,3,9 anos de estudo,Conta-própria,Conta-própria," R$  150,00 "
Mulher,19,Parda,Sim,Não aplicável,Não aplicável,Sim,Filho(a)," R$  50,00 "," R$  50,00 ",3,Regular do ensino médio óu do 2º grau,3,12 anos de estudo,Conta-própria,Conta-própria, R$  -   
